"Time","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2022","13,720","13,660","13,775","13,660","665.04K","0.22%"
"Oct 26, 2022","13,690","13,710","13,735","13,670","0.00K","0.04%"
"Oct 25, 2022","13,685","13,720","13,775","13,665","859.87K","0.70%"
"Oct 24, 2022","13,590","13,555","13,620","13,545","0.01K","2.84%"
"Oct 21, 2022","13,215","13,140","13,230","13,120","1.03M","-0.45%"
"Oct 20, 2022","13,275","13,305","13,305","13,210","1.46M","-0.67%"
"Oct 19, 2022","13,365","13,425","13,430","13,325","469.99K","0.07%"
"Oct 18, 2022","13,355","13,300","13,410","13,280","897.24K","2.49%"
"Oct 17, 2022","13,030","13,120","13,120","12,975","876.03K","-1.70%"
"Oct 14, 2022","13,255","13,150","13,255","13,145","1.63M","3.03%"
"Oct 13, 2022","12,865","12,870","12,880","12,830","493.70K","-0.77%"
"Oct 12, 2022","12,965","12,945","12,965","12,895","1.43M","-0.19%"
"Oct 11, 2022","12,990","13,060","13,060","12,945","1.08M","-1.70%"
"Oct 10, 2022","13,215","13,215","13,215","13,215","-","0.00%"
"Oct 07, 2022","13,215","13,215","13,285","13,195","1.31M","-1.09%"
"Oct 06, 2022","13,360","13,500","13,500","13,340","0.00K","-0.04%"
"Oct 05, 2022","13,365","13,465","13,490","13,365","931.44K","0.41%"
"Oct 04, 2022","13,310","13,275","13,345","13,270","766.37K","1.37%"
"Sep 30, 2022","13,130","13,125","13,160","13,040","1.40M","-1.65%"
"Sep 29, 2022","13,350","13,295","13,430","13,295","831.34K","1.52%"
"Sep 28, 2022","13,150","13,095","13,170","13,055","1.26M","-0.49%"
"Sep 27, 2022","13,215","13,175","13,225","13,160","1.27M","0.27%"
"Sep 26, 2022","13,180","13,175","13,230","13,140","1.58M","-0.79%"
"Sep 25, 2022","13,285","13,285","13,285","13,285","-","0.00%"
"Sep 23, 2022","13,285","13,375","13,375","13,255","760.12K","-0.75%"
"Sep 22, 2022","13,385","13,235","13,385","13,235","0.04K","-0.82%"
"Sep 21, 2022","13,495","13,475","13,530","13,440","1.12M","-1.06%"
"Sep 20, 2022","13,640","13,630","13,665","13,600","578.77K","1.00%"
"Sep 19, 2022","13,505","13,515","13,540","13,460","1.06M","-0.07%"
"Sep 18, 2022","13,515","13,515","13,515","13,515","-","0.00%"
"Sep 16, 2022","13,515","13,675","13,675","13,495","1.11M","-2.28%"
"Sep 15, 2022","13,830","13,820","13,870","13,800","814.03K","0.40%"
"Sep 14, 2022","13,775","13,785","13,805","13,735","1.73M","-3.23%"
"Sep 13, 2022","14,235","14,210","14,240","14,175","1.42M","2.93%"
"Sep 08, 2022","13,830","13,720","13,840","13,720","1.18M","1.88%"
"Sep 07, 2022","13,575","13,545","13,585","13,495","997.44K","-0.11%"
"Sep 06, 2022","13,590","13,535","13,615","13,505","527.22K","0.26%"
"Sep 05, 2022","13,555","13,485","13,565","13,455","1.94M","-0.11%"
"Sep 02, 2022","13,570","13,500","13,570","13,470","1.53M","1.50%"
"Sep 01, 2022","13,370","13,320","13,385","13,285","3.00M","-0.85%"
"Aug 31, 2022","13,485","13,525","13,570","13,485","0.00K","-1.43%"
"Aug 30, 2022","13,680","13,655","13,705","13,630","1.54M","0.22%"
"Aug 29, 2022","13,650","13,500","13,670","13,500","0.10K","-2.64%"
"Aug 28, 2022","14,020","14,020","14,020","14,020","-","0.00%"
"Aug 26, 2022","14,020","14,055","14,130","14,010","697.26K","0.07%"
"Aug 25, 2022","14,010","13,970","14,025","13,915","0.00K","0.76%"
"Aug 24, 2022","13,905","13,880","13,920","13,860","960.47K","-0.18%"
"Aug 23, 2022","13,930","13,970","14,025","13,920","2.75M","-1.66%"
"Aug 22, 2022","14,165","14,135","14,185","14,120","0.00K","-0.39%"
"Aug 21, 2022","14,220","14,220","14,220","14,220","-","0.00%"
"Aug 19, 2022","14,220","14,220","14,290","14,210","923.74K","0.57%"
"Aug 18, 2022","14,140","14,085","14,180","14,070","1.72M","-0.21%"
"Aug 17, 2022","14,170","14,160","14,190","14,155","0.00K","0.53%"
"Aug 16, 2022","14,095","13,805","14,140","13,805","2.45M","2.25%"
"Aug 15, 2022","13,785","13,785","13,785","13,785","-","0.00%"
"Aug 12, 2022","13,785","13,805","13,830","13,745","1.56M","-0.22%"
"Aug 11, 2022","13,815","13,700","13,825","13,700","0.10K","2.03%"
"Aug 10, 2022","13,540","13,555","13,560","13,525","512.19K","-0.26%"
"Aug 09, 2022","13,575","13,605","13,610","13,565","0.02K","-0.22%"
"Aug 08, 2022","13,605","13,520","13,605","13,515","0.00K","0.33%"
"Aug 07, 2022","13,560","13,560","13,560","13,560","-","0.00%"
"Aug 05, 2022","13,560","13,600","13,605","13,540","1.45M","-0.66%"
"Aug 04, 2022","13,650","13,595","13,675","13,590","1.99M","1.15%"
"Aug 03, 2022","13,495","13,445","13,510","13,440","1.34M","0.41%"
"Aug 02, 2022","13,440","13,485","13,525","13,425","1.49M","-0.22%"
"Aug 01, 2022","13,470","13,395","13,515","13,395","756.42K","0.75%"
"Jul 29, 2022","13,370","13,300","13,395","13,295","886.40K","2.02%"
"Jul 28, 2022","13,105","13,185","13,185","13,095","622.50K","0.19%"
"Jul 27, 2022","13,080","13,030","13,095","13,020","959.86K","0.38%"
"Jul 26, 2022","13,030","13,060","13,065","13,025","521.22K","-0.34%"
"Jul 25, 2022","13,075","13,070","13,085","13,015","562.57K","-0.57%"
"Jul 22, 2022","13,150","13,090","13,170","13,090","647.68K","0.80%"
"Jul 21, 2022","13,045","13,070","13,090","13,030","946.86K","0.00%"
"Jul 20, 2022","13,045","12,940","13,055","12,925","790.72K","2.76%"
"Jul 19, 2022","12,695","12,760","12,760","12,660","1.05M","-1.40%"
"Jul 18, 2022","12,875","12,840","12,885","12,810","960.53K","1.66%"
"Jul 15, 2022","12,665","12,575","12,680","12,575","680.11K","1.28%"
"Jul 14, 2022","12,505","12,485","12,530","12,420","611.83K","-0.68%"
"Jul 13, 2022","12,590","12,630","12,630","12,545","493.13K","-0.51%"
"Jul 12, 2022","12,655","12,660","12,720","12,650","560.40K","-0.24%"
"Jul 11, 2022","12,685","12,715","12,720","12,650","418.53K","-0.24%"
"Jul 08, 2022","12,715","12,720","12,750","12,695","2.21M","0.79%"
"Jul 07, 2022","12,615","12,615","12,645","12,575","2.04M","0.64%"
"Jul 06, 2022","12,535","12,550","12,635","12,530","1.82M","-0.28%"
"Jul 05, 2022","12,570","12,540","12,570","12,505","638.38K","1.00%"
"Jul 04, 2022","12,445","12,370","12,450","12,370","553.16K","1.51%"
"Jul 01, 2022","12,260","12,340","12,370","12,215","1.37M","-0.73%"
"Jun 30, 2022","12,350","12,515","12,515","12,345","999.87K","-1.32%"
"Jun 29, 2022","12,515","12,500","12,515","12,405","1.29M","-1.18%"
"Jun 28, 2022","12,665","12,645","12,670","12,570","1.13M","0.00%"
"Jun 27, 2022","12,665","12,640","12,690","12,595","2.29M","1.40%"
"Jun 24, 2022","12,490","12,350","12,505","12,350","1.30M","1.71%"
"Jun 23, 2022","12,280","12,205","12,325","12,205","2.25M","1.24%"
"Jun 22, 2022","12,130","12,210","12,210","12,115","1.62M","0.21%"
"Jun 21, 2022","12,105","12,080","12,120","12,035","2.62M","1.00%"
"Jun 20, 2022","11,985","11,990","12,005","11,905","2.07M","0.21%"
"Jun 17, 2022","11,960","11,980","11,990","11,895","3.30M","-2.01%"
"Jun 16, 2022","12,205","12,315","12,340","12,205","2.66M","0.16%"
"Jun 15, 2022","12,185","12,300","12,300","12,145","2.68M","-0.93%"
"Jun 14, 2022","12,300","12,170","12,325","12,165","2.10M","-0.53%"
"Jun 13, 2022","12,365","12,550","12,550","12,360","3.47M","-3.77%"
"Jun 10, 2022","12,850","12,810","12,850","12,755","521.97K","-0.96%"
"Jun 09, 2022","12,975","13,020","13,035","12,940","1.83M","-0.88%"
"Jun 08, 2022","13,090","13,070","13,115","13,065","963.91K","0.93%"
"Jun 07, 2022","12,970","13,020","13,020","12,925","1.50M","-0.54%"
"Jun 03, 2022","13,040","13,090","13,090","13,005","2.06M","0.97%"
"Jun 02, 2022","12,915","12,890","12,935","12,820","1.25M","-0.23%"
"May 31, 2022","12,945","13,065","13,065","12,920","1.30M","-0.92%"
"May 30, 2022","13,065","13,110","13,130","13,020","1.20M","2.11%"
"May 27, 2022","12,795","12,950","12,950","12,760","1.42M","1.19%"
"May 26, 2022","12,645","12,620","12,700","12,620","1.54M","0.64%"
"May 25, 2022","12,565","12,520","12,600","12,520","936.78K","0.64%"
"May 24, 2022","12,485","12,650","12,650","12,465","2.24M","-0.56%"
"May 23, 2022","12,555","12,540","12,575","12,515","1.26M","0.28%"
"May 20, 2022","12,520","12,540","12,565","12,445","2.01M","-0.56%"
"May 19, 2022","12,590","12,530","12,595","12,490","5.57M","-3.12%"
"May 18, 2022","12,995","13,050","13,085","12,985","1.65M","0.70%"
"May 17, 2022","12,905","12,890","12,930","12,870","1.41M","0.12%"
"May 16, 2022","12,890","12,925","12,975","12,845","1.78M","0.86%"
"May 13, 2022","12,780","12,755","12,825","12,750","2.05M","0.51%"
"May 12, 2022","12,715","12,750","12,775","12,660","1.91M","-1.36%"
"May 11, 2022","12,890","12,900","12,905","12,810","1.82M","-0.08%"
"May 10, 2022","12,900","12,750","12,900","12,735","2.07M","-1.41%"
"May 09, 2022","13,085","13,250","13,250","13,020","1.76M","-1.25%"
"May 06, 2022","13,250","13,200","13,290","13,200","1.90M","-0.30%"
"May 04, 2022","13,290","13,320","13,320","13,220","1.18M","0.23%"
"May 03, 2022","13,260","13,230","13,280","13,205","1.34M","0.42%"
"May 02, 2022","13,205","13,290","13,290","13,115","2.19M","-2.11%"
"Apr 29, 2022","13,490","13,600","13,625","13,485","622.75K","-0.15%"
"Apr 28, 2022","13,510","13,450","13,510","13,360","665.90K","0.86%"
"Apr 27, 2022","13,395","13,200","13,395","13,200","1.55M","-0.96%"
"Apr 26, 2022","13,525","13,495","13,550","13,480","722.76K","1.27%"
"Apr 25, 2022","13,355","13,430","13,435","13,295","1.88M","-2.52%"
"Apr 22, 2022","13,700","13,720","13,725","13,660","1.65M","-1.79%"
"Apr 21, 2022","13,950","13,900","13,970","13,900","818.25K","0.94%"
"Apr 20, 2022","13,820","13,880","13,895","13,790","1.68M","0.69%"
"Apr 19, 2022","13,725","13,710","13,750","13,670","976.80K","0.92%"
"Apr 18, 2022","13,600","13,640","13,690","13,530","717.68K","-0.73%"
"Apr 15, 2022","13,700","13,630","13,725","13,600","507.74K","-0.29%"
"Apr 14, 2022","13,740","13,695","13,745","13,695","1.43M","0.33%"
"Apr 13, 2022","13,695","13,690","13,695","13,630","1.47M","0.00%"
"Apr 12, 2022","13,695","13,705","13,745","13,675","1.13M","-1.40%"
"Apr 11, 2022","13,890","13,870","13,905","13,835","1.13M","-0.14%"
"Apr 08, 2022","13,910","13,860","13,915","13,830","993.84K","1.20%"
"Apr 07, 2022","13,745","13,735","13,745","13,690","1.46M","-1.08%"
"Apr 06, 2022","13,895","13,865","13,915","13,860","1.18M","-0.64%"
"Apr 05, 2022","13,985","14,015","14,015","13,960","1.56M","0.36%"
"Apr 04, 2022","13,935","13,930","13,955","13,895","1.06M","0.04%"
"Apr 01, 2022","13,930","13,910","13,955","13,910","1.49M","-1.10%"
"Mar 31, 2022","14,085","14,080","14,085","14,035","1.48M","-0.18%"
"Mar 30, 2022","14,110","14,125","14,150","14,060","1.50M","0.25%"
"Mar 29, 2022","14,075","14,085","14,105","14,045","1.80M","0.68%"
"Mar 28, 2022","13,980","13,950","13,995","13,950","1.09M","0.58%"
"Mar 25, 2022","13,900","13,880","13,900","13,835","1.06M","1.20%"
"Mar 24, 2022","13,735","13,700","13,750","13,675","780.60K","-0.54%"
"Mar 23, 2022","13,810","13,805","13,840","13,765","1.21M","1.10%"
"Mar 22, 2022","13,660","13,660","13,695","13,625","1.06M","0.37%"
"Mar 21, 2022","13,610","13,595","13,620","13,500","1.14M","1.76%"
"Mar 18, 2022","13,375","13,390","13,415","13,310","1.42M","0.34%"
"Mar 17, 2022","13,330","13,475","13,580","13,295","1.88M","0.11%"
"Mar 16, 2022","13,315","13,310","13,340","13,270","745.20K","1.99%"
"Mar 15, 2022","13,055","13,105","13,105","13,030","872.58K","-1.55%"
"Mar 14, 2022","13,260","13,210","13,260","13,130","917.04K","0.19%"
"Mar 11, 2022","13,235","13,205","13,240","13,155","886.71K","0.19%"
"Mar 10, 2022","13,210","13,220","13,255","13,180","1.16M","1.93%"
"Mar 08, 2022","12,960","12,970","13,080","12,960","2.15M","-1.86%"
"Mar 07, 2022","13,205","13,280","13,280","13,095","2.06M","-0.60%"
"Mar 04, 2022","13,285","13,275","13,315","13,070","2.35M","-0.23%"
"Mar 03, 2022","13,315","13,300","13,320","13,240","1.53M","1.64%"
"Mar 02, 2022","13,100","13,075","13,125","13,045","1.50M","0.85%"
"Feb 28, 2022","12,990","12,970","13,080","12,955","2.21M","0.70%"
"Feb 25, 2022","12,900","12,910","12,950","12,865","2.91M","2.91%"
"Feb 24, 2022","12,535","12,690","12,720","12,445","3.81M","-3.54%"
"Feb 23, 2022","12,995","12,975","13,015","12,940","1.82M","1.01%"
"Feb 22, 2022","12,865","12,940","12,995","12,825","1.47M","-1.87%"
"Feb 21, 2022","13,110","13,060","13,170","13,020","1.54M","-1.09%"
"Feb 18, 2022","13,255","13,200","13,285","13,175","1.50M","-1.19%"
"Feb 17, 2022","13,415","13,450","13,455","13,390","1.76M","-0.22%"
"Feb 16, 2022","13,445","13,420","13,445","13,400","809.98K","1.28%"
"Feb 15, 2022","13,275","13,220","13,285","13,220","1.42M","-0.11%"
"Feb 14, 2022","13,290","13,345","13,355","13,290","2.06M","-1.26%"
"Feb 11, 2022","13,460","13,530","13,560","13,440","1.83M","-2.29%"
"Feb 10, 2022","13,775","13,770","13,780","13,740","1.22M","0.88%"
"Feb 09, 2022","13,655","13,535","13,665","13,535","590.62K","1.07%"
"Feb 08, 2022","13,510","13,540","13,540","13,480","895.05K","-0.48%"
"Feb 07, 2022","13,575","13,585","13,595","13,500","881.40K","-0.51%"
"Feb 04, 2022","13,645","13,680","13,680","13,615","1.18M","-0.91%"
"Feb 03, 2022","13,770","13,730","13,775","13,710","1.21M","4.32%"
"Jan 28, 2022","13,200","13,125","13,210","13,100","1.95M","1.81%"
"Jan 27, 2022","12,965","13,210","13,215","12,905","5.81M","-1.74%"
"Jan 26, 2022","13,195","13,145","13,200","13,085","2.09M","0.11%"
"Jan 25, 2022","13,180","13,295","13,300","13,110","2.53M","-1.13%"
"Jan 24, 2022","13,330","13,285","13,330","13,275","2.42M","-0.74%"
"Jan 21, 2022","13,430","13,465","13,465","13,345","1.83M","-1.83%"
